Student Number,Gender,Age,Degree,Year Graduated,CGPA,Average Prof Grade,Average Elec Grade,OJT Grade,Leadership POS,Act Member POS,Soft Skills Ave,Hard Skills Ave,Employability
22-00050,Male,26,BSBA,2022,2.04,79.7,97.99,88.58,Yes,No,5,1,Not Employable
17-00051,Male,32,BSHM,2017,3.87,83.18,98.73,98.5,No,No,2,1,Employable
15-00052,Male,24,BSE,2015,3.81,79.72,87.91,97.82,No,Yes,4,4,Employable
18-00053,Female,20,BSE,2018,3.09,79.3,70.6,89.63,No,Yes,1,1,Not Employable
16-00054,Male,24,BSBA,2016,3.15,92.42,73.18,89.73,Yes,Yes,1,4,Employable
22-00055,Female,31,BSHM,2022,3.41,92.43,95.02,77.41,Yes,Yes,3,4,Not Employable
18-00056,Female,31,BSBA,2018,2.53,85.53,94.89,94.86,Yes,Yes,5,4,Not Employable
16-00057,Female,22,BSE,2016,2.44,89.73,98.38,88.98,No,Yes,3,1,Employable
20-00058,Female,26,BSA,2020,3.35,85.35,86.91,94.79,No,No,5,3,Not Employable
20-00059,Male,25,BSP,2020,2.21,70.86,95.91,89.74,No,No,5,4,Employable
24-00060,Female,27,BSHM,2024,2.91,71.98,94.75,78.98,No,Yes,2,4,Employable
18-00061,Male,32,BSA,2018,2.99,81.51,87.68,75.68,No,No,2,2,Not Employable
20-00062,Female,24,BSBA,2020,2.76,92.49,93.51,72.31,No,No,1,2,Employable
16-00063,Male,21,BSE,2016,2.37,97.4,73.77,87.58,No,Yes,4,5,Employable
24-00064,Male,28,BSBA,2024,2.71,70.89,89.18,78.52,Yes,Yes,1,1,Not Employable
16-00065,Female,33,BSCS,2016,2.68,81.04,98.6,88.92,No,No,5,3,Employable
24-00066,Female,30,BSCS,2024,3,76.71,74.86,71.76,No,Yes,4,4,Not Employable
18-00067,Female,27,BSE,2018,3.35,94.46,92.32,81.27,Yes,Yes,3,4,Not Employable
22-00068,Male,25,BSE,2022,3.94,95.38,79.62,77.82,No,No,5,1,Employable
21-00069,Female,32,BSA,2021,2.29,76.19,94.51,81.11,No,No,2,5,Employable
23-00070,Female,29,BSN,2023,3.75,91.32,90.92,71.63,Yes,No,1,5,Employable
22-00071,Male,26,BSE,2022,2.57,91.95,97.79,91.73,No,Yes,1,2,Employable
19-00072,Female,28,BSHM,2019,3.18,75.31,91.36,73.5,Yes,No,3,1,Not Employable
16-00073,Male,26,BSHM,2016,3.09,83.01,82.31,70.43,No,Yes,1,5,Employable
19-00074,Female,22,BSBA,2019,3.11,88.61,70.33,98.39,Yes,Yes,1,5,Employable
22-00075,Male,25,BSA,2022,3.45,70.78,93.79,75.79,No,No,4,3,Employable
24-00076,Male,30,BSIT,2024,2.76,82.14,82.25,94.84,Yes,No,5,2,Not Employable
23-00077,Female,32,BSSE,2023,2.64,74.65,90.12,98.93,No,Yes,4,2,Not Employable
23-00078,Male,30,BSBA,2023,3.71,86.26,73.15,86.02,Yes,Yes,4,2,Not Employable
15-00079,Female,26,BSE,2015,2.44,95.29,96.73,85.78,No,Yes,1,5,Employable
23-00080,Female,21,BSBA,2023,2.36,85.74,83.07,81.02,No,Yes,5,4,Not Employable
21-00081,Male,22,BSIT,2021,2.03,71.08,97.59,82.77,No,No,1,5,Not Employable
23-00082,Female,23,BSSE,2023,2.42,70.89,91.21,84.46,Yes,No,1,5,Employable
22-00083,Male,29,BSIT,2022,3.04,88.17,73.64,74.56,Yes,No,4,1,Employable
15-00084,Male,25,BSIT,2015,3.08,79.84,87.38,80.94,No,No,2,2,Not Employable
22-00085,Male,20,BSCS,2022,2.51,87.18,97.3,94.48,No,Yes,2,2,Not Employable
22-00086,Male,28,BSHM,2022,2.14,74.91,94,75.47,Yes,Yes,4,3,Employable
17-00087,Male,24,BSN,2017,3.49,93.31,82.54,91.9,Yes,No,4,2,Employable
15-00088,Male,32,BSE,2015,3.52,95.82,98.65,89.55,Yes,No,1,5,Not Employable
22-00089,Male,31,BSA,2022,4,96.68,78.06,71.72,Yes,Yes,5,1,Not Employable
17-00090,Male,33,BSBA,2017,3.8,79.12,81.25,70.67,Yes,Yes,1,3,Not Employable
17-00091,Female,26,BSE,2017,3.85,89.82,92.49,80.58,Yes,Yes,1,5,Not Employable
15-00092,Female,28,BSCS,2015,3.6,78.37,76.99,90.77,No,No,3,5,Not Employable
19-00093,Male,28,BSHM,2019,3.23,92.88,85.46,79.91,No,No,1,3,Employable
24-00094,Female,20,BSBA,2024,2.26,73.62,91.86,90.03,No,Yes,5,5,Employable
21-00095,Female,34,BSA,2021,3.24,92.88,89.32,89.96,Yes,No,1,5,Not Employable
24-00096,Female,20,BSN,2024,2.11,83.19,74.66,94.2,Yes,Yes,4,1,Employable
23-00097,Female,22,BSE,2023,3.77,95.67,88.89,72.98,No,No,5,1,Employable
21-00098,Female,25,BSHM,2021,2.96,92.17,87.18,87.31,No,Yes,4,1,Employable
23-00099,Female,21,BSP,2023,3.39,81.3,86.74,71.87,Yes,No,3,2,Employable
22-00100,Male,29,BSE,2022,2.1,97.11,94.78,75.28,No,Yes,3,3,Employable
16-00101,Female,31,BSIT,2016,3.07,78.5,75.52,79.77,No,No,5,1,Not Employable
15-00102,Female,30,BSIT,2015,2.6,99.01,92.55,91.22,Yes,Yes,2,5,Not Employable
21-00103,Female,20,BSSE,2021,2.57,93.02,92.83,99.22,No,Yes,2,2,Employable
21-00104,Female,20,BSHM,2021,2.78,99.72,91.68,80.28,No,Yes,5,3,Not Employable
22-00105,Male,32,BSIT,2022,2,71.62,85.18,85.63,Yes,Yes,5,1,Employable
19-00106,Male,24,BSN,2019,2.93,78.22,81.87,77.77,Yes,No,4,1,Employable
17-00107,Male,23,BSN,2017,2.97,92.24,81.84,90.26,Yes,Yes,3,3,Not Employable
22-00108,Male,20,BSIT,2022,3.73,97.67,92.01,81,Yes,Yes,5,1,Employable
20-00109,Female,23,BSHM,2020,2.9,70.86,84.94,84.45,No,Yes,1,3,Not Employable
17-00110,Male,22,BSCS,2017,2.73,70,80.15,87.03,No,No,4,3,Employable
15-00111,Male,21,BSA,2015,3.99,77.69,88.76,90.59,Yes,Yes,3,5,Employable
17-00112,Male,28,BSA,2017,3.14,95.58,95.11,71.8,Yes,No,4,3,Employable
19-00113,Male,33,BSHM,2019,2.95,93.01,71.85,86.65,Yes,Yes,3,4,Not Employable
17-00114,Female,34,BSP,2017,2.99,80.21,99.16,82.93,No,Yes,1,1,Not Employable
15-00115,Male,30,BSA,2015,3.62,70.06,72.9,74.01,No,Yes,3,5,Employable
19-00116,Female,20,BSBA,2019,2.68,86.64,85.35,76.24,No,Yes,4,2,Not Employable
24-00117,Male,26,BSA,2024,2.78,77.14,86.81,96.52,Yes,No,3,4,Employable
21-00118,Female,33,BSBA,2021,3.51,92.37,74.15,96.15,Yes,No,4,3,Not Employable
21-00119,Female,32,BSIT,2021,2.15,83.39,97.47,71,No,Yes,5,2,Employable
23-00120,Male,23,BSCS,2023,3.73,90.36,84.14,90.68,No,Yes,1,2,Employable
24-00121,Male,24,BSCS,2024,2.86,95.57,74.29,86.63,Yes,Yes,4,2,Employable
24-00122,Male,29,BSA,2024,3.16,86.07,91.35,98.19,Yes,No,2,2,Not Employable
17-00123,Male,24,BSA,2017,3.51,80.08,89.9,97.24,Yes,Yes,2,5,Employable
21-00124,Female,20,BSHM,2021,2.53,93.09,98.89,87.39,Yes,No,3,5,Not Employable
15-00125,Female,25,BSA,2015,3.78,77.96,83.25,74.17,Yes,No,5,2,Not Employable
18-00126,Male,32,BSSE,2018,3.96,96.75,78.03,83.79,Yes,Yes,5,4,Not Employable
18-00127,Male,28,BSSE,2018,2.99,72.14,71.8,91.75,Yes,No,2,1,Not Employable
19-00128,Female,21,BSP,2019,3.87,95.06,91.99,98.55,Yes,Yes,3,1,Not Employable
21-00129,Male,26,BSIT,2021,2,72.75,88.52,80.91,No,No,5,5,Employable
21-00130,Female,25,BSBA,2021,3.79,71.68,99.18,93.54,No,Yes,5,4,Employable
18-00131,Male,24,BSCS,2018,2.62,80.9,91.36,90.5,No,Yes,3,4,Not Employable
21-00132,Female,23,BSIT,2021,2.62,98.7,97.99,72.35,Yes,Yes,4,3,Not Employable
17-00133,Female,23,BSBA,2017,2.46,99.5,99.75,86.74,No,Yes,2,5,Employable
20-00134,Female,25,BSBA,2020,2.63,76.06,82.85,75.51,No,Yes,5,4,Employable
16-00135,Female,23,BSE,2016,2.43,74.46,74.51,90.51,No,Yes,4,4,Not Employable
24-00136,Female,24,BSA,2024,3.81,80.59,75.88,88.3,Yes,No,4,1,Not Employable
23-00137,Male,32,BSP,2023,3.8,80.11,79.55,99.19,Yes,No,4,4,Not Employable
19-00138,Female,25,BSA,2019,2.2,92.79,85.27,98.06,Yes,No,4,4,Not Employable
20-00139,Male,24,BSP,2020,2.29,83.32,73.67,70.28,No,Yes,1,2,Employable
18-00140,Female,26,BSIT,2018,3.72,93.4,79.05,72.4,No,Yes,1,1,Employable
24-00141,Female,28,BSHM,2024,2.8,92.46,79.23,93.07,Yes,Yes,3,1,Not Employable
21-00142,Male,29,BSHM,2021,2.34,87.35,70.12,90.57,No,Yes,2,2,Not Employable
23-00143,Male,26,BSIT,2023,3.02,95.01,80.63,94.03,No,Yes,3,1,Not Employable
21-00144,Male,26,BSSE,2021,2.83,75.87,73.48,78,Yes,Yes,1,3,Not Employable
15-00145,Male,23,BSBA,2015,2.44,74.85,82.89,95.48,Yes,No,3,3,Employable
15-00146,Female,20,BSP,2015,3.44,92.52,75.9,83.27,Yes,Yes,3,5,Not Employable
23-00147,Male,33,BSN,2023,3.26,77.34,94.66,77.86,Yes,Yes,4,1,Employable
23-00148,Female,27,BSA,2023,2.2,70.08,72.42,70.32,Yes,Yes,5,1,Not Employable
18-00149,Male,23,BSIT,2018,3.85,97.36,95.97,96.14,Yes,Yes,1,3,Employable
23-00150,Male,20,BSBA,2023,3.12,88.69,87.42,86.06,Yes,Yes,1,5,Not Employable
17-00151,Female,24,BSP,2017,2.5,83.35,83.76,99.26,Yes,No,3,5,Not Employable
21-00152,Female,33,BSCS,2021,2.41,91.77,86.49,91.44,Yes,Yes,5,3,Employable
20-00153,Male,33,BSA,2020,2.27,80,81.28,72.41,Yes,Yes,3,3,Employable
22-00154,Female,27,BSHM,2022,2.85,98.61,73.83,87.65,Yes,No,2,2,Employable
23-00155,Female,23,BSIT,2023,2.27,72.06,92.98,70.51,Yes,No,1,5,Not Employable
19-00156,Female,32,BSHM,2019,2.83,89.23,97.84,86.73,No,Yes,4,5,Employable
15-00157,Female,31,BSP,2015,2.3,93.32,98.5,80.51,Yes,No,4,2,Not Employable
17-00158,Female,27,BSHM,2017,3.31,84.07,90.12,89.3,No,No,4,3,Not Employable
24-00159,Female,27,BSA,2024,3.57,92.65,82.31,86.25,No,Yes,1,2,Employable
22-00160,Female,22,BSSE,2022,3.1,97.81,84.35,77.84,No,No,1,2,Employable
20-00161,Female,28,BSBA,2020,3.36,92.32,89.71,74.87,Yes,Yes,4,4,Employable
22-00162,Male,22,BSSE,2022,3.88,79.28,94.69,82.14,Yes,No,1,5,Not Employable
23-00163,Female,20,BSIT,2023,3.28,86.86,81.24,99.61,Yes,Yes,4,3,Not Employable
18-00164,Male,21,BSSE,2018,2.73,97.35,97.5,83.07,Yes,Yes,2,4,Not Employable
15-00165,Female,34,BSE,2015,2.9,83.47,79.73,92.46,No,No,2,4,Employable
15-00166,Female,25,BSBA,2015,3.72,90.45,85.93,71.71,No,No,2,4,Employable
24-00167,Female,31,BSP,2024,2.26,83.97,98.84,81.37,Yes,Yes,3,3,Not Employable
18-00168,Female,29,BSBA,2018,2.65,73.64,98.15,87.41,Yes,Yes,3,2,Employable
21-00169,Male,21,BSE,2021,3.15,71.76,90.87,92.54,Yes,No,5,3,Not Employable
16-00170,Male,25,BSN,2016,3.35,98.57,79.74,85.85,Yes,Yes,5,5,Employable
17-00171,Female,33,BSSE,2017,3.53,88.38,76.57,85.46,No,No,5,5,Employable
15-00172,Male,20,BSBA,2015,2.64,73.11,72.4,92.92,Yes,No,2,2,Employable
19-00173,Female,30,BSHM,2019,2.29,95.72,91.26,79.4,No,No,2,3,Not Employable
15-00174,Female,32,BSP,2015,3.91,85.68,85.1,72.72,Yes,Yes,2,2,Employable
22-00175,Male,20,BSCS,2022,2.15,93.16,87.17,80.41,Yes,Yes,1,2,Not Employable
15-00176,Male,24,BSIT,2015,2.19,73.8,84.17,74.77,Yes,No,1,3,Not Employable
15-00177,Female,29,BSIT,2015,2.99,97.21,84.49,98.98,Yes,No,2,5,Not Employable
16-00178,Female,32,BSIT,2016,3.64,87.72,87.14,87.33,Yes,Yes,4,3,Not Employable
16-00179,Male,30,BSBA,2016,3.55,92.15,97.43,83.4,Yes,Yes,5,5,Employable
20-00180,Female,28,BSSE,2020,3.88,70.94,70.88,97.36,No,Yes,3,1,Not Employable
21-00181,Male,33,BSBA,2021,2.28,79.46,94.05,97.01,No,No,5,1,Employable
19-00182,Female,27,BSA,2019,2.75,78.02,81.72,82.47,Yes,No,4,1,Not Employable
15-00183,Female,22,BSHM,2015,2.56,98.49,92.35,96.24,No,Yes,1,4,Employable
15-00184,Male,34,BSCS,2015,3.72,75.56,98.46,71.92,Yes,No,2,5,Not Employable
17-00185,Male,22,BSCS,2017,2.98,91.21,79.19,96.57,No,No,1,5,Employable
16-00186,Male,34,BSHM,2016,2.05,71.28,72.69,79.32,Yes,Yes,1,3,Not Employable
19-00187,Female,20,BSE,2019,3.42,75.93,76.97,86.95,No,No,4,5,Not Employable
24-00188,Female,33,BSA,2024,2.78,80.16,76.66,78.09,Yes,Yes,1,3,Employable
20-00189,Female,22,BSP,2020,3.06,93.84,92.26,99.54,No,Yes,1,4,Employable
21-00190,Female,34,BSCS,2021,3.79,93.7,71.86,72.15,No,Yes,5,3,Employable
18-00191,Male,33,BSIT,2018,2.51,98.58,71.53,83.41,Yes,Yes,5,1,Employable
21-00192,Female,31,BSBA,2021,2.48,97.5,90.81,88.63,Yes,No,4,3,Not Employable
22-00193,Female,31,BSE,2022,2.53,72.45,86.7,88.47,Yes,Yes,2,3,Employable
15-00194,Female,31,BSHM,2015,2.68,94.9,82.53,92.16,Yes,Yes,5,3,Not Employable
20-00195,Male,32,BSN,2020,2.21,83.54,87.26,91.73,Yes,Yes,1,5,Employable
22-00196,Female,30,BSP,2022,3.39,95.98,92.06,93.79,No,No,3,2,Employable
19-00197,Female,20,BSIT,2019,2.41,72.68,73.1,77.03,Yes,No,5,2,Not Employable
18-00198,Male,27,BSCS,2018,3.85,94.68,86.6,81.12,Yes,No,3,2,Employable
16-00199,Female,20,BSBA,2016,2.43,74.79,94.73,81.46,No,No,2,5,Employable
20-00200,Female,24,BSHM,2020,2.51,80.02,80.87,98.68,No,Yes,1,1,Employable
20-00201,Male,28,BSP,2020,2.59,70.87,92.89,82.28,No,No,5,2,Employable
15-00202,Female,26,BSN,2015,3.54,73.71,95.36,76.66,Yes,No,2,2,Employable
23-00203,Female,23,BSE,2023,2.86,83.37,94.63,88.97,Yes,No,4,4,Employable
20-00204,Female,30,BSCS,2020,3.64,94.55,89.51,82.82,No,Yes,2,4,Employable
17-00205,Male,28,BSBA,2017,3.57,93.21,91.52,77.5,No,Yes,4,1,Employable
18-00206,Female,28,BSIT,2018,3.86,77.06,93.63,91.45,Yes,Yes,4,3,Employable
18-00207,Female,21,BSHM,2018,3.51,74.55,92.01,75.76,No,Yes,5,3,Employable
17-00208,Male,29,BSHM,2017,2.1,81.68,83.55,89,Yes,No,3,4,Not Employable
24-00209,Male,29,BSE,2024,3.67,96.5,74.77,82.92,No,No,4,4,Employable
17-00210,Female,30,BSSE,2017,3.88,72.74,79.29,79.58,No,No,1,1,Employable
17-00211,Female,31,BSSE,2017,3.99,86.29,76.22,98.38,Yes,No,5,1,Employable
18-00212,Female,25,BSIT,2018,2.25,72.66,80.84,79.73,No,No,4,5,Employable
21-00213,Female,23,BSN,2021,3.23,84.11,84.68,80.43,No,Yes,5,3,Not Employable
18-00214,Male,27,BSHM,2018,2.4,73.8,98.77,96.12,Yes,No,1,5,Employable
23-00215,Female,31,BSHM,2023,2.53,72.41,98.78,73.87,Yes,Yes,5,2,Employable
15-00216,Male,30,BSHM,2015,3.49,75.73,93.09,73.24,No,Yes,5,1,Not Employable
22-00217,Male,26,BSE,2022,3.96,77.66,99.4,78.48,Yes,Yes,4,3,Employable
21-00218,Female,26,BSSE,2021,3.19,78.29,99.94,87.75,Yes,No,2,3,Employable
16-00219,Female,30,BSA,2016,3.7,89.36,96.56,81.53,Yes,No,5,5,Not Employable
22-00220,Male,29,BSP,2022,2.02,71.65,72.39,88.26,No,Yes,4,4,Not Employable
15-00221,Male,28,BSE,2015,2.07,72.42,82.78,74.79,No,No,1,4,Employable
23-00222,Female,32,BSCS,2023,3.19,75.66,86.02,77.84,No,No,1,1,Employable
23-00223,Male,24,BSN,2023,2.78,96.16,73.72,86.95,No,No,2,4,Employable
16-00224,Female,25,BSN,2016,3.78,88.86,94.26,76.51,No,No,1,2,Employable
21-00225,Female,20,BSP,2021,2.6,91.91,74.46,82.68,No,Yes,4,3,Employable
24-00226,Male,25,BSN,2024,2.86,81.11,81.5,87.18,No,No,2,4,Not Employable
17-00227,Male,21,BSN,2017,3.06,76.4,72.07,99.21,Yes,No,4,1,Employable
21-00228,Female,25,BSA,2021,2.55,71.14,85.74,72.4,Yes,No,2,2,Not Employable
24-00229,Male,28,BSN,2024,3.82,84.66,87.91,83.81,No,Yes,2,5,Not Employable
23-00230,Female,27,BSHM,2023,2.93,87.23,92.06,81.89,No,Yes,4,5,Employable
18-00231,Female,28,BSE,2018,2.85,96.91,80.18,94.73,Yes,No,2,2,Employable
15-00232,Female,32,BSSE,2015,3.7,96.46,87.72,97.01,No,No,4,1,Employable
16-00233,Male,34,BSN,2016,2.62,82.74,92.02,97.21,No,No,1,5,Not Employable
15-00234,Female,29,BSIT,2015,3.63,82.71,92.86,81.25,No,No,1,3,Not Employable
19-00235,Female,27,BSIT,2019,2.24,74.83,79.05,79.14,Yes,Yes,5,3,Not Employable
19-00236,Female,22,BSIT,2019,2.37,77.72,72.03,83.47,Yes,Yes,3,1,Employable
21-00237,Female,27,BSN,2021,3.9,97.77,71.13,80.32,Yes,Yes,3,1,Employable
23-00238,Female,25,BSCS,2023,3.68,74.23,93.04,91.57,No,Yes,1,3,Not Employable
23-00239,Female,32,BSHM,2023,2.78,99.06,81.56,76.41,Yes,Yes,5,1,Employable
17-00240,Female,25,BSBA,2017,3.28,85.14,74.02,89.76,Yes,Yes,3,2,Not Employable
17-00241,Female,25,BSN,2017,3.89,83.7,75.53,97.81,No,No,4,1,Employable
17-00242,Female,22,BSCS,2017,2.42,75.24,92.98,78.4,No,Yes,4,3,Employable
18-00243,Female,29,BSBA,2018,2.12,89.85,87.97,90.31,No,Yes,2,4,Employable
22-00244,Female,20,BSP,2022,3.07,83.8,85.04,74.31,No,Yes,3,1,Not Employable
20-00245,Male,31,BSA,2020,2.29,81.12,88.69,73.64,Yes,No,4,5,Not Employable
22-00246,Female,33,BSHM,2022,2.37,77.94,74.12,73.47,Yes,Yes,3,2,Employable
15-00247,Female,23,BSN,2015,3.78,71.99,79.57,74.16,No,Yes,2,2,Not Employable
22-00248,Female,29,BSE,2022,2.01,85.58,81.22,76.48,No,Yes,1,2,Not Employable
18-00249,Male,31,BSE,2018,3.63,79.39,79.43,86.88,No,Yes,5,5,Not Employable
15-00250,Female,25,BSE,2015,3.03,91.24,95.93,93.01,No,No,2,5,Employable
22-00251,Male,30,BSP,2022,3.12,91.71,87.44,73.81,No,No,2,2,Employable
18-00252,Female,31,BSP,2018,3.34,79.96,91.88,96.1,Yes,No,2,2,Employable
20-00253,Female,29,BSBA,2020,2.86,90.07,77.1,95.28,No,Yes,5,2,Not Employable
22-00254,Male,21,BSP,2022,2.23,77.76,77.92,91.82,Yes,No,4,1,Not Employable
18-00255,Female,26,BSIT,2018,2.21,91.82,76.76,82.78,No,No,3,5,Not Employable
17-00256,Male,26,BSA,2017,3.51,70.48,90.64,70.05,Yes,No,1,3,Not Employable
23-00257,Male,30,BSIT,2023,2.44,74.55,80.47,92.04,No,No,1,1,Not Employable
17-00258,Female,23,BSN,2017,2.06,77.35,82.15,96.37,No,No,5,3,Not Employable
23-00259,Female,23,BSBA,2023,3.96,93.19,91.27,80.06,Yes,Yes,1,1,Employable
16-00260,Female,34,BSCS,2016,3.96,71.99,99.15,91.54,Yes,Yes,5,1,Employable
16-00261,Female,20,BSBA,2016,2.76,75.64,74.86,71.86,Yes,Yes,5,3,Employable
16-00262,Male,32,BSCS,2016,2.05,80.76,71.88,91.28,Yes,Yes,3,2,Employable
20-00263,Male,21,BSA,2020,3.45,70.28,75.85,72.05,Yes,Yes,3,3,Not Employable
17-00264,Female,28,BSP,2017,3.66,92.86,92.05,87.62,Yes,Yes,5,4,Not Employable
23-00265,Male,29,BSP,2023,2.25,86.8,75.84,87.93,Yes,No,3,5,Not Employable
18-00266,Male,27,BSN,2018,2.27,97.02,87.53,79.06,Yes,No,4,4,Not Employable
15-00267,Female,27,BSE,2015,3.64,70.93,87.71,72.37,No,Yes,2,1,Employable
18-00268,Male,28,BSSE,2018,3.84,78.14,78.83,98.48,No,Yes,1,3,Employable
15-00269,Male,34,BSBA,2015,3.58,91.94,72.06,86.07,No,Yes,1,2,Employable
19-00270,Female,26,BSBA,2019,2.4,90.25,81.98,87.39,Yes,Yes,1,2,Employable
18-00271,Male,32,BSN,2018,2.82,77.29,75.6,88.45,Yes,No,1,4,Employable
22-00272,Female,28,BSIT,2022,3.2,87.87,75.53,96.73,No,No,4,4,Not Employable
22-00273,Male,29,BSHM,2022,2.32,93.81,85.68,71.81,Yes,Yes,4,1,Not Employable
21-00274,Female,31,BSN,2021,2.42,71,90.19,96.8,No,Yes,2,5,Employable
17-00275,Male,21,BSSE,2017,2.57,91.53,72.26,77.19,Yes,Yes,5,1,Employable
15-00276,Male,25,BSP,2015,3.02,77.56,87.35,72.34,Yes,Yes,3,2,Not Employable
15-00277,Female,34,BSCS,2015,3.02,98.44,77.39,89.72,Yes,Yes,2,3,Employable
17-00278,Female,22,BSIT,2017,3.63,86.15,90.2,99.31,Yes,Yes,1,4,Not Employable
20-00279,Female,30,BSIT,2020,3.51,71,94.31,71.72,No,No,3,2,Not Employable
21-00280,Female,34,BSA,2021,3.83,82.1,94.21,82.78,No,No,2,1,Not Employable
20-00281,Male,25,BSSE,2020,3.67,98.99,81.1,85.89,No,No,1,5,Employable
20-00282,Male,22,BSIT,2020,2.51,91.91,87.02,77.56,Yes,No,2,3,Employable
20-00283,Male,27,BSSE,2020,2.66,79.01,93.81,99.49,No,Yes,1,5,Not Employable
17-00284,Female,34,BSN,2017,3,87.26,71.82,89.23,No,No,1,1,Not Employable
20-00285,Male,30,BSCS,2020,2.03,87.97,88.17,95.33,No,No,4,1,Not Employable
